status,accident_index,accident_year,accident_reference,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2022302200958,2022,302200958,2,90,Scooter - Electric Scooter
Unvalidated,2022302200967,2022,302200967,2,90,Scooter - Electric Scooter
Unvalidated,2022302201026,2022,302201026,2,90,Scooter - Electric Scooter
Unvalidated,2022302201046,2022,302201046,2,90,Scooter - Electric Scooter
Unvalidated,2022311134398,2022,311134398,1,90,Scooter - Electric Scooter
Unvalidated,2022311134429,2022,311134429,1,90,Scooter - Electric Scooter
Unvalidated,2022311134611,2022,311134611,2,90,Scooter - Electric Scooter
Unvalidated,2022311145368,2022,311145368,1,90,Scooter - Electric Scooter
Unvalidated,2022311146165,2022,311146165,2,90,Scooter - Electric Scooter
Unvalidated,2022311147829,2022,311147829,1,90,Scooter - Electric Scooter
Unvalidated,2022311148653,2022,311148653,1,90,Scooter - Electric Scooter
Unvalidated,2022311150717,2022,311150717,1,90,Scooter - Electric Scooter
Unvalidated,2022311151064,2022,311151064,2,90,Scooter - Electric Scooter
Unvalidated,2022311151383,2022,311151383,2,90,Scooter - Electric Scooter
Unvalidated,2022311152799,2022,311152799,2,90,Scooter - Electric Scooter
Unvalidated,2022311152991,2022,311152991,2,90,Scooter - Electric Scooter
Unvalidated,2022311153461,2022,311153461,1,90,Scooter - Electric Scooter
Unvalidated,2022311155919,2022,311155919,1,90,Scooter - Electric Scooter
Unvalidated,2022311160586,2022,311160586,2,90,Scooter - Electric Scooter
Unvalidated,2022311163209,2022,311163209,1,90,Scooter - Electric Scooter
Unvalidated,2022311168205,2022,311168205,2,90,Scooter - Electric Scooter
Unvalidated,2022311169917,2022,311169917,2,90,Scooter - Electric Scooter
Unvalidated,2022311170078,2022,311170078,2,90,Scooter - Electric Scooter
Unvalidated,2022311170876,2022,311170876,1,90,Scooter - Electric Scooter
Unvalidated,2022311172687,2022,311172687,1,90,Scooter - Electric Scooter
Unvalidated,2022311173857,2022,311173857,2,90,Scooter - Electric Scooter
Unvalidated,2022010369068,2022,010369068,1,90,Scooter - Electric Scooter
Unvalidated,2022010369391,2022,010369391,2,90,Scooter - Electric Scooter
Unvalidated,2022010369607,2022,010369607,2,90,Scooter - Electric Scooter
Unvalidated,2022010369708,2022,010369708,2,90,Scooter - Electric Scooter
Unvalidated,2022010369991,2022,010369991,2,90,Scooter - Electric Scooter
Unvalidated,2022010370244,2022,010370244,2,90,Scooter - Electric Scooter
Unvalidated,2022010370551,2022,010370551,2,90,Scooter - Electric Scooter
Unvalidated,2022010370621,2022,010370621,2,90,Scooter - Electric Scooter
Unvalidated,2022010370812,2022,010370812,1,90,Scooter - Electric Scooter
Unvalidated,2022010370856,2022,010370856,2,90,Scooter - Electric Scooter
Unvalidated,2022010370865,2022,010370865,2,90,Scooter - Electric Scooter
Unvalidated,2022010370912,2022,010370912,1,90,Scooter - Electric Scooter
Unvalidated,2022010371000,2022,010371000,1,90,Scooter - Electric Scooter
Unvalidated,2022010371391,2022,010371391,2,90,Scooter - Electric Scooter
Unvalidated,2022010371392,2022,010371392,1,90,Scooter - Electric Scooter
Unvalidated,2022010371500,2022,010371500,2,90,Scooter - Electric Scooter
Unvalidated,2022010371692,2022,010371692,2,90,Scooter - Electric Scooter
Unvalidated,2022010371697,2022,010371697,1,90,Scooter - Electric Scooter
Unvalidated,2022010371831,2022,010371831,2,90,Scooter - Electric Scooter
Unvalidated,2022010371997,2022,010371997,2,90,Scooter - Electric Scooter
Unvalidated,2022010372251,2022,010372251,1,90,Scooter - Electric Scooter
Unvalidated,2022010372333,2022,010372333,1,90,Scooter - Electric Scooter
Unvalidated,2022010372393,2022,010372393,1,90,Scooter - Electric Scooter
Unvalidated,2022010372947,2022,010372947,1,90,Scooter - Electric Scooter
Unvalidated,2022010373084,2022,010373084,1,90,Scooter - Electric Scooter
Unvalidated,2022010373268,2022,010373268,2,90,Scooter - Electric Scooter
Unvalidated,2022010373338,2022,010373338,2,90,Scooter - Electric Scooter
Unvalidated,2022010373423,2022,010373423,2,90,Scooter - Electric Scooter
Unvalidated,2022010373553,2022,010373553,1,90,Scooter - Electric Scooter
Unvalidated,2022010373589,2022,010373589,1,90,Scooter - Electric Scooter
Unvalidated,2022010373776,2022,010373776,1,90,Scooter - Electric Scooter
Unvalidated,2022010373907,2022,010373907,1,90,Scooter - Electric Scooter
Unvalidated,2022010374364,2022,010374364,2,90,Scooter - Electric Scooter
Unvalidated,2022010374531,2022,010374531,1,90,Scooter - Electric Scooter
Unvalidated,2022010374674,2022,010374674,1,90,Scooter - Electric Scooter
Unvalidated,2022010374796,2022,010374796,1,90,Scooter - Electric Scooter
Unvalidated,2022010375074,2022,010375074,1,90,Scooter - Electric Scooter
Unvalidated,2022010375424,2022,010375424,2,90,Scooter - Electric Scooter
Unvalidated,2022010375853,2022,010375853,1,90,Scooter - Electric Scooter
Unvalidated,2022010376024,2022,010376024,1,90,Scooter - Electric Scooter
Unvalidated,2022010376026,2022,010376026,2,90,Scooter - Electric Scooter
Unvalidated,2022311178656,2022,311178656,2,90,Scooter - Electric Scooter
Unvalidated,2022311179403,2022,311179403,1,90,Scooter - Electric Scooter
Unvalidated,2022311179802,2022,311179802,2,90,Scooter - Electric Scooter
Unvalidated,2022311182446,2022,311182446,1,90,Scooter - Electric Scooter
Unvalidated,2022311183897,2022,311183897,1,90,Scooter - Electric Scooter
Unvalidated,2022311187484,2022,311187484,1,90,Scooter - Electric Scooter
Unvalidated,2022311189035,2022,311189035,2,90,Scooter - Electric Scooter
Unvalidated,2022311189382,2022,311189382,1,90,Scooter - Electric Scooter
Unvalidated,2022311190256,2022,311190256,1,90,Scooter - Electric Scooter
Unvalidated,2022311191099,2022,311191099,1,90,Scooter - Electric Scooter
Unvalidated,2022311191971,2022,311191971,2,90,Scooter - Electric Scooter
Unvalidated,2022311192646,2022,311192646,2,90,Scooter - Electric Scooter
Unvalidated,2022311196216,2022,311196216,1,90,Scooter - Electric Scooter
Unvalidated,2022311204774,2022,311204774,1,90,Scooter - Electric Scooter
Unvalidated,2022320336255,2022,320336255,1,90,Scooter - Electric Scooter
Unvalidated,2022332200002,2022,332200002,1,90,Scooter - Electric Scooter
Unvalidated,2022332200016,2022,332200016,2,90,Scooter - Electric Scooter
Unvalidated,2022332200154,2022,332200154,1,90,Scooter - Electric Scooter
Unvalidated,2022332200198,2022,332200198,1,90,Scooter - Electric Scooter
Unvalidated,2022332200238,2022,332200238,2,90,Scooter - Electric Scooter
Unvalidated,2022332200263,2022,332200263,2,90,Scooter - Electric Scooter
Unvalidated,2022332200267,2022,332200267,2,90,Scooter - Electric Scooter
Unvalidated,2022332200445,2022,332200445,2,90,Scooter - Electric Scooter
Unvalidated,2022332200732,2022,332200732,1,90,Scooter - Electric Scooter
Unvalidated,2022332200733,2022,332200733,1,90,Scooter - Electric Scooter
Unvalidated,2022340WNC452,2022,340WNC452,2,90,Scooter - Electric Scooter
Unvalidated,202234NNC2352,2022,34NNC2352,1,90,Scooter - Electric Scooter
Unvalidated,202234NNC3342,2022,34NNC3342,1,90,Scooter - Electric Scooter
Unvalidated,202234WNC1162,2022,34WNC1162,1,90,Scooter - Electric Scooter
Unvalidated,202234WNC1572,2022,34WNC1572,2,90,Scooter - Electric Scooter
Unvalidated,202234WNC1912,2022,34WNC1912,2,90,Scooter - Electric Scooter
Unvalidated,202234WNC1922,2022,34WNC1922,2,90,Scooter - Electric Scooter
Unvalidated,202234WNC1932,2022,34WNC1932,1,90,Scooter - Electric Scooter
Unvalidated,202234WNC2442,2022,34WNC2442,1,90,Scooter - Electric Scooter
Unvalidated,202234WNC2712,2022,34WNC2712,1,90,Scooter - Electric Scooter
